Country Name,Indicator Name,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Egypt, Arab Rep.",Land area (sq. km),,,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450
Euro area,Land area (sq. km),,,2678352,2678352,2678352,2678342,2678332,2678322,2678312,2678272,2678242,2678202,2677623,2677093,2677573,2678033,2677653,2677513,2676883,2676941,2676402.2,2676305.8,2677670.2,2677456,2677738.7,2679126.2,2679055.6,2678458.2,2678840.6,2678829.05,2682452.479,2682452.479,2682452.479,2682452.479
Eritrea,Land area (sq. km),,,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000
Spain,Land area (sq. km),,,499440,499440,499440,499440,499440,499440,499440,499440,499440,499440,499000,498520,499040,499210,499180,499090,498980,499110,498800,498660,500010,499880,500210,500210,500210,499661,499564,499547.35,499603.479,499603.479,499603.479,499603.479
Estonia,Land area (sq. km),,,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,43470,43470,43470,43470,43470,43470,43470,43470,43470
Ethiopia,Land area (sq. km),,,1101000,1101000,1101000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1129264.328,1129317.777,1129314.344,1129287.296,1129272.056,1129270.983,1129253.379,1129208.088,1129209.376,1129212.38,1129225.045,1129272.914,1129304.039,1129279.999,1129300.39,1129300.39,1129300.39,1129300.39
European Union,Land area (sq. km),,,4000402,4000512,4000552,4000532,4000572,4000542,4000632,4000542,4000502,4000472,3999823,3999293,3998103,3998563,3998353,3998063,3997403,3997351,3996802.2,3997715.8,3999060.2,3998916,3993598.7,3994976.2,3996265.6,3995658.2,3996050.6,3996029.05,3999622.479,3999622.479,3999622.479,3999622.479
Fragile and conflict affected situations,Land area (sq. km),,,19934338.27,19935218.27,19935218.27,19834218.27,19834218.27,19834218.27,19834218.27,19834218.27,19834093.27,19833706.27,19833606.27,19833605.27,19833619.27,19833463.27,19962607.6,19962589.05,19962732.62,19962757.57,19962530.33,19959464.25,19959430.65,19959417.36,19959278.97,19959018.33,19958990.68,19959040.34,19958955.34,19958631.03,19947735.23,19947735.23,19947735.23,19947735.23
Finland,Land area (sq. km),,,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304110,304090,303900,303900,303900,303890,303890,303890,303890,303910,303910,303920,303920,303920,303920,303920
Fiji,Land area (sq. km),,,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270
France,Land area (sq. km),,,547566,547566,547566,547566,547566,547566,547566,547566,547566,547566,547567,547567,547567,547867,547567,547557,547557,547557,547557,547557,547557,547557,547557,547557,547557,547557,547557,547557,547557,547557,547557,547557
Faroe Islands,Land area (sq. km),,,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396
"Micronesia, Fed. Sts.",Land area (sq. km),,,,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700
Gabon,Land area (sq. km),,,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670
United Kingdom,Land area (sq. km),,,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930
