,e_type,e_con,e_prod,GDP,Population,ei_capita,ei_gdp,pop_growth,pop_density,Manuf_GDP,Agric_GDP,Deforestation,emission_per_cap,CO2_emission
2086,4,0.0,0.0,0.91,337.95,3.47,1.28,2.024,83.859,0.1147328,0.1309581,153.7848,0.0,0.0
2087,5,0.0,0.0,0.91,337.95,3.47,1.28,2.024,83.859,0.1147328,0.1309581,153.7848,0.0,0.0
2094,0,0.08,0.38,35.79,11780.1,6.6,2.17,3.054,24.92,5.0735904,8.5878105,225000.5058,0.0002716445531022,3.2
2095,1,0.0,0.0,35.79,11780.1,6.6,2.17,3.054,24.92,5.0735904,8.5878105,225000.5058,0.0,0.0
2096,2,0.0,0.0,35.79,11780.1,6.6,2.17,3.054,24.92,5.0735904,8.5878105,225000.5058,0.0,0.0
2097,3,0.05,0.35,35.79,11780.1,6.6,2.17,3.054,24.92,5.0735904,8.5878105,225000.5058,0.0002716445531022,3.2
2098,4,0.0,0.0,35.79,11780.1,6.6,2.17,3.054,24.92,5.0735904,8.5878105,225000.5058,0.0,0.0
2099,5,0.03,0.03,35.79,11780.1,6.6,2.17,3.054,24.92,5.0735904,8.5878105,225000.5058,0.0,0.0
2118,0,0.0,0.0,6.11,5963.25,0.81,0.79,3.226,4.736,0.8383531000000001,1.7040179,67304.23999999999,3.353875822747663e-05,0.2
2119,1,0.0,0.0,6.11,5963.25,0.81,0.79,3.226,4.736,0.8383531000000001,1.7040179,67304.23999999999,0.0,0.0
2120,2,0.0,0.0,6.11,5963.25,0.81,0.79,3.226,4.736,0.8383531000000001,1.7040179,67304.23999999999,0.0,0.0
2121,3,0.0,0.0,6.11,5963.25,0.81,0.79,3.226,4.736,0.8383531000000001,1.7040179,67304.23999999999,3.353875822747663e-05,0.2
2122,4,0.0,0.0,6.11,5963.25,0.81,0.79,3.226,4.736,0.8383531000000001,1.7040179,67304.23999999999,0.0,0.0
2123,5,0.0,0.0,6.11,5963.25,0.81,0.79,3.226,4.736,0.8383531000000001,1.7040179,67304.23999999999,0.0,0.0
2124,0,0.57,0.3,117.7,13211.2,42.99,4.83,1.639,17.853,21.788624,9.694949,152461.23659999995,0.0021663437083686,28.62
2125,1,0.07,0.04,117.7,13211.2,42.99,4.83,1.639,17.853,21.788624,9.694949,152461.23659999995,0.0005048746518105,6.67
2126,2,0.07,0.07,117.7,13211.2,42.99,4.83,1.639,17.853,21.788624,9.694949,152461.23659999995,0.00022859392031,3.02
2127,3,0.3,0.06,117.7,13211.2,42.99,4.83,1.639,17.853,21.788624,9.694949,152461.23659999995,0.001432875136248,18.93
2128,4,0.0,0.0,117.7,13211.2,42.99,4.83,1.639,17.853,21.788624,9.694949,152461.23659999995,0.0,0.0
2129,5,0.13,0.13,117.7,13211.2,42.99,4.83,1.639,17.853,21.788624,9.694949,152461.23659999995,0.0,0.0
2136,0,0.94,1.92,259.78,33102.6,28.5,3.63,1.968,29.836,46.8461274,44.3366526,649578.965,0.0013760248439699,45.55
2137,1,0.13,0.52,259.78,33102.6,28.5,3.63,1.968,29.836,46.8461274,44.3366526,649578.965,0.000338946185496,11.22
2138,2,0.14,0.14,259.78,33102.6,28.5,3.63,1.968,29.836,46.8461274,44.3366526,649578.965,0.0002175055735803,7.2
2139,3,0.39,0.98,259.78,33102.6,28.5,3.63,1.968,29.836,46.8461274,44.3366526,649578.965,0.0008192709938192,27.12
2140,4,0.0,0.0,259.78,33102.6,28.5,3.63,1.968,29.836,46.8461274,44.3366526,649578.965,0.0,0.0
2141,5,0.28,0.29,259.78,33102.6,28.5,3.63,1.968,29.836,46.8461274,44.3366526,649578.965,0.0,0.0
2148,0,0.02,0.35,10.17,2356.74,8.17,1.89,2.735,6.901,0.8487882000000001,1.3079637,223149.76,0.0003818834491713,0.9
2149,1,0.0,0.0,10.17,2356.74,8.17,1.89,2.735,6.901,0.8487882000000001,1.3079637,223149.76,0.0,0.0
2150,2,0.0,0.0,10.17,2356.74,8.17,1.89,2.735,6.901,0.8487882000000001,1.3079637,223149.76,0.0,0.0
2151,3,0.01,0.35,10.17,2356.74,8.17,1.89,2.735,6.901,0.8487882000000001,1.3079637,223149.76,0.0003818834491713,0.9
2152,4,0.0,0.0,10.17,2356.74,8.17,1.89,2.735,6.901,0.8487882000000001,1.3079637,223149.76,0.0,0.0
2153,5,0.01,0.01,10.17,2356.74,8.17,1.89,2.735,6.901,0.8487882000000001,1.3079637,223149.76,0.0,0.0
2160,0,0.07,0.03,27.48,3119.44,23.83,2.7,2.612,61.094,5.325624,4.3382676,29074.0746,0.0009008027081783,2.81
2161,1,0.0,0.0,27.48,3119.44,23.83,2.7,2.612,61.094,5.325624,4.3382676,29074.0746,0.0,0.0
2162,2,0.0,0.0,27.48,3119.44,23.83,2.7,2.612,61.094,5.325624,4.3382676,29074.0746,0.0,0.0
2163,3,0.04,0.0,27.48,3119.44,23.83,2.7,2.612,61.094,5.325624,4.3382676,29074.0746,0.0009008027081783,2.81
2164,4,0.0,0.0,27.48,3119.44,23.83,2.7,2.612,61.094,5.325624,4.3382676,29074.0746,0.0,0.0
2165,5,0.04,0.03,27.48,3119.44,23.83,2.7,2.612,61.094,5.325624,4.3382676,29074.0746,0.0,0.0
2166,0,0.5,0.06,86.35,10597.0,46.92,5.76,0.882,98.668,6.1610725,11.2609035,20579.988,0.0033622723412286,35.63
2167,1,0.0,0.0,86.35,10597.0,46.92,5.76,0.882,98.668,6.1610725,11.2609035,20579.988,5.28451448523167e-05,0.56
2168,2,0.0,0.0,86.35,10597.0,46.92,5.76,0.882,98.668,6.1610725,11.2609035,20579.988,5.66197980560536e-06,0.06
2169,3,0.48,0.04,86.35,10597.0,46.92,5.76,0.882,98.668,6.1610725,11.2609035,20579.988,0.0033028215532697,35.0
2170,4,0.0,0.0,86.35,10597.0,46.92,5.76,0.882,98.668,6.1610725,11.2609035,20579.988,0.0,0.0
2171,5,0.02,0.02,86.35,10597.0,46.92,5.76,0.882,98.668,6.1610725,11.2609035,20579.988,0.0,0.0
2172,0,0.07,0.0,9.21,587.14,117.57,0.0,2.052,82.967,1.3038597,0.6317139,1611.0864,0.0080730319855571,4.74
2173,1,0.0,0.0,9.21,587.14,117.57,0.0,2.052,82.967,1.3038597,0.6317139,1611.0864,6.812685219879416e-05,0.04
2174,2,0.0,0.0,9.21,587.14,117.57,0.0,2.052,82.967,1.3038597,0.6317139,1611.0864,0.0,0.0
2175,3,0.07,0.0,9.21,587.14,117.57,0.0,2.052,82.967,1.3038597,0.6317139,1611.0864,0.0080049051333583,4.7
2176,4,0.0,0.0,9.21,587.14,117.57,0.0,2.052,82.967,1.3038597,0.6317139,1611.0864,0.0,0.0
2177,5,0.0,0.0,9.21,587.14,117.57,0.0,2.052,82.967,1.3038597,0.6317139,1611.0864,0.0,0.0
2178,0,0.08,0.02,55.78,11924.9,6.5,1.39,3.607,37.5,9.7341678,18.1273844,78507.84,0.0004696056151414,5.6
2179,1,0.0,0.0,55.78,11924.9,6.5,1.39,3.607,37.5,9.7341678,18.1273844,78507.84,0.0,0.0
2180,2,0.0,0.0,55.78,11924.9,6.5,1.39,3.607,37.5,9.7341678,18.1273844,78507.84,0.0,0.0
2181,3,0.06,0.0,55.78,11924.9,6.5,1.39,3.607,37.5,9.7341678,18.1273844,78507.84,0.0004696056151414,5.6
2182,4,0.0,0.0,55.78,11924.9,6.5,1.39,3.607,37.5,9.7341678,18.1273844,78507.84,0.0,0.0
2183,5,0.01,0.01,55.78,11924.9,6.5,1.39,3.607,37.5,9.7341678,18.1273844,78507.84,0.0,0.0
2184,0,0.75,0.38,186.23,5142.32,145.64,4.02,0.162,121.277,27.6830895,6.121380099999999,5314.434300000001,0.0102813516078345,52.87
2185,1,0.23,0.0,186.23,5142.32,145.64,4.02,0.162,121.277,27.6830895,6.121380099999999,5314.434300000001,0.0038679039810824,19.89
2186,2,0.08,0.12,186.23,5142.32,145.64,4.02,0.162,121.277,27.6830895,6.121380099999999,5314.434300000001,0.000777859020831,4.0
2187,3,0.4,0.25,186.23,5142.32,145.64,4.02,0.162,121.277,27.6830895,6.121380099999999,5314.434300000001,0.005635588605921,28.98
2188,4,0.0,0.0,186.23,5142.32,145.64,4.02,0.162,121.277,27.6830895,6.121380099999999,5314.434300000001,0.0,0.0
2189,5,0.03,0.01,186.23,5142.32,145.64,4.02,0.162,121.277,27.6830895,6.121380099999999,5314.434300000001,0.0,0.0
2196,0,0.0,0.0,0.51,70.42,12.72,1.74,-0.425,93.896,0.0281418,0.0833442,503.1,0.0008520306731042,0.06
2197,1,0.0,0.0,0.51,70.42,12.72,1.74,-0.425,93.896,0.0281418,0.0833442,503.1,0.0,0.0
2198,2,0.0,0.0,0.51,70.42,12.72,1.74,-0.425,93.896,0.0281418,0.0833442,503.1,0.0,0.0
2199,3,0.0,0.0,0.51,70.42,12.72,1.74,-0.425,93.896,0.0281418,0.0833442,503.1,0.0008520306731042,0.06
2200,4,0.0,0.0,0.51,70.42,12.72,1.74,-0.425,93.896,0.0281418,0.0833442,503.1,0.0,0.0
2201,5,0.0,0.0,0.51,70.42,12.72,1.74,-0.425,93.896,0.0281418,0.0833442,503.1,0.0,0.0
2202,0,0.14,0.0,41.04,7133.49,19.45,3.38,1.919,147.661,7.3703736,5.5087992,15949.063400000005,0.0011382927571216,8.12
2203,1,0.0,0.0,41.04,7133.49,19.45,3.38,1.919,147.661,7.3703736,5.5087992,15949.063400000005,2.803676741679038e-06,0.02
2204,2,0.0,0.0,41.04,7133.49,19.45,3.38,1.919,147.661,7.3703736,5.5087992,15949.063400000005,0.0,0.0
2205,3,0.13,0.0,41.04,7133.49,19.45,3.38,1.919,147.661,7.3703736,5.5087992,15949.063400000005,0.00113548908038,8.1
2206,4,0.0,0.0,41.04,7133.49,19.45,3.38,1.919,147.661,7.3703736,5.5087992,15949.063400000005,0.0,0.0
2207,5,0.0,0.0,41.04,7133.49,19.45,3.38,1.919,147.661,7.3703736,5.5087992,15949.063400000005,0.0,0.0
2208,0,0.25,0.68,78.7,10230.9,24.71,3.21,2.364,36.956,17.574497,16.150027,146321.0136,0.0011914885298458,12.19
2209,1,0.0,0.0,78.7,10230.9,24.71,3.21,2.364,36.956,17.574497,16.150027,146321.0136,0.0,0.0
2210,2,0.01,0.01,78.7,10230.9,24.71,3.21,2.364,36.956,17.574497,16.150027,146321.0136,1.8571191195300517e-05,0.19
2211,3,0.2,0.63,78.7,10230.9,24.71,3.21,2.364,36.956,17.574497,16.150027,146321.0136,0.0011729173386505,12.0
2212,4,0.0,0.0,78.7,10230.9,24.71,3.21,2.364,36.956,17.574497,16.150027,146321.0136,0.0,0.0
2213,5,0.05,0.05,78.7,10230.9,24.71,3.21,2.364,36.956,17.574497,16.150027,146321.0136,0.0,0.0
2214,0,1.42,2.36,373.76,56134.5,25.32,3.8,2.427,56.391,63.44576,69.1941888,437.99799999999993,0.0015222367706134,85.45
